"","Id","ym","RET.USD"
"300","135092",1996-12-01,-1.0546
"301","135092",1997-03-01,-3.4311
"302","135092",1997-06-01,-0.5109
"303","135092",1997-09-01,12.4051
"304","135092",1997-12-01,10.2357
"305","135092",1998-03-01,8.4167
"306","135092",1998-06-01,7.5922
"307","135092",1998-09-01,-9.335
"308","135092",1998-12-01,-2.4792
"309","135092",1999-06-01,-1.5416
"310","135092",1999-09-01,-11.9007
"311","135092",1999-12-01,-14.5023
"312","135092",2000-03-01,17.7705
"313","135092",2000-06-01,3.3803
"314","135092",2000-09-01,-5.9582
"315","135092",2000-12-01,-2.6988
"316","135092",2001-03-01,-11.5651
"317","135092",2001-06-01,1.9277
"318","135092",2001-09-01,-68.7005
"319","135092",2001-12-01,6.2451
"320","135092",2002-03-01,-7.2176
"321","135092",2002-06-01,-22.8535
"322","135092",2002-09-01,-6.4715
"323","135092",2002-12-01,4.782
"324","135092",2003-06-01,3.2508
"325","135092",2003-09-01,-10.8567
"326","135092",2003-12-01,4.0876
"327","135092",2004-03-01,-3.0798
"328","135092",2004-06-01,6.9078
"329","135092",2004-09-01,4.9271
"330","135092",2004-12-01,9.9904
"331","135092",2005-03-01,-2.4216
"332","135092",2005-06-01,6.2163
"333","135092",2005-09-01,2.6905
"334","135092",2005-12-01,1.2998
"335","135092",2006-03-01,15.9336
"336","135092",2006-06-01,1.7533
"337","135092",2006-09-01,-1.6685
"338","135092",2006-12-01,2.1527
"339","135092",2007-03-01,NA
"340","135092",2007-06-01,NA
"341","135092",2007-09-01,NA
"342","135092",2007-12-01,NA
"343","135092",2008-03-01,NA
"344","135092",2008-06-01,NA
"345","135092",2008-09-01,NA
"346","135092",2009-09-01,NA
"347","135092",2010-03-01,NA
"348","135092",2010-06-01,NA
"349","135092",2010-12-01,NA
"350","135092",2011-03-01,NA
"351","135092",2011-06-01,NA
"352","135092",2011-09-01,NA
"353","135092",2011-12-01,NA
"354","135092",2012-03-01,NA
"355","135092",2012-06-01,NA
"356","135092",2012-09-01,NA
"357","135092",2012-12-01,NA
"358","135092",2013-03-01,NA
"359","135092",2013-06-01,NA
"360","135092",2013-09-01,NA
"361","135092",2013-12-01,NA
"362","135092",2014-03-01,NA
"363","135092",2014-06-01,NA
"364","135092",2014-09-01,NA
"365","135092",2014-12-01,NA
"366","135092",2015-03-01,NA
"367","135092",2015-06-01,NA
"368","135092",2015-09-01,NA
"369","135092",2015-12-01,NA
"370","135092",2016-03-01,NA
"371","135092",2016-06-01,NA
"372","135092",2016-09-01,NA
"373","135092",2016-12-01,NA
"374","135092",2017-03-01,NA
"375","135092",2017-06-01,NA
"376","135092",2017-12-01,NA
"377","135092",2018-03-01,NA
"378","135092",2018-06-01,NA
"379","135092",2018-09-01,NA
"380","135092",2018-12-01,NA
"381","135092",2019-03-01,NA
"382","135092",2019-06-01,NA
"383","135092",2019-12-01,NA
"384","135092",2020-09-01,NA
"385","135092",2020-12-01,NA
"386","135092",2021-03-01,NA
"387","135092",2021-06-01,NA
"388","135092",2021-09-01,NA
"389","135092",2021-12-01,NA
"390","135116",1994-12-01,NA
"391","135116",1995-03-01,3.5434
"392","135116",1995-06-01,2.9611
"393","135116",1995-09-01,14.7936
"394","135116",1995-12-01,-4.9248
"395","135116",1996-03-01,11.0177
"396","135116",1996-06-01,-1.8387
"397","135116",1996-09-01,2.1258
"398","135116",1996-12-01,3.0292
"399","135116",1997-03-01,4.6019
"400","135116",1997-06-01,-22.1546
"401","135116",1997-09-01,6.6874
"402","135116",1997-12-01,1.2097
"403","135116",1998-03-01,15.9369
"404","135116",1998-06-01,2.1994
"405","135116",1998-09-01,8.5852
"406","135116",1998-12-01,-8.1564
"407","135116",1999-06-01,-2.4302
"408","135116",1999-09-01,2.1584
"409","135116",1999-12-01,22.3771
"410","135116",2000-03-01,3.1044
"411","135116",2000-06-01,6.8207
"412","135116",2000-09-01,-5.6334
"413","135116",2000-12-01,20.0507
"414","135116",2001-03-01,-14.7765
"415","135116",2001-06-01,-5.691
"416","135116",2001-09-01,-23.1423
"417","135116",2001-12-01,-9.7591
"418","135116",2002-03-01,16.6639
"419","135116",2002-06-01,-10.8481
"420","135116",2002-09-01,-14.5878
"421","135116",2002-12-01,0.6294
"422","135116",2003-06-01,2.0116
"423","135116",2003-09-01,-2.501
"424","135116",2003-12-01,8.5661
"425","135116",2004-03-01,-6.3851
"426","135116",2004-06-01,0.2823
"427","135116",2004-09-01,0.8523
"428","135116",2004-12-01,1.2048
"429","135116",2005-03-01,1.242
"430","135116",2005-06-01,-4.8968
"431","135116",2005-09-01,-3.2768
"432","135116",2005-12-01,-0.2868
"433","135116",2006-03-01,6.9887
"434","135116",2006-06-01,6.648
"435","135116",2006-09-01,-4.3384
"436","135116",2006-12-01,-1.727
"437","135116",2007-03-01,2.519
"438","135116",2007-06-01,-1.6455
"439","135116",2007-09-01,3.9223
"440","135116",2007-12-01,-4.1174
"441","135116",2008-03-01,-0.8391
"442","135116",2008-06-01,-12.4619
"443","135116",2008-09-01,-13.0753
"444","135116",2009-09-01,2.7148
"445","135116",2010-03-01,11.7349
"446","135116",2010-06-01,25.2263
"447","135116",2010-12-01,2.6958
"448","135116",2011-03-01,4.3979
"449","135116",2011-06-01,-0.7607
"450","135116",2011-09-01,-3.8198
"451","135116",2011-12-01,-5.3868
"452","135116",2012-03-01,2.294
"453","135116",2012-06-01,3.1627
"454","135116",2012-09-01,-0.6726
"455","135116",2012-12-01,2.4948
"456","135116",2013-03-01,5.1589
"457","135116",2013-06-01,1.5136
"458","135116",2013-09-01,8.4901
"459","135116",2013-12-01,4.1976
"460","135116",2014-03-01,-2.1108
"461","135116",2014-06-01,4.4211
"462","135116",2014-09-01,-1.4346
"463","135116",2014-12-01,-3.9596
"464","135116",2015-03-01,-3.1078
"465","135116",2015-06-01,1.3052
"466","135116",2015-09-01,-1.4173
"467","135116",2015-12-01,-1.5548
"468","135116",2016-03-01,2.5077
"469","135116",2016-06-01,-19.1652
"470","135116",2016-09-01,4.4401
"471","135116",2016-12-01,25.4921
"472","135116",2017-03-01,-1.6797
"473","135116",2017-06-01,0.9243
"474","135116",2017-12-01,7.9902
"475","135116",2018-03-01,-1.0293
"476","135116",2018-06-01,7.6524
"477","135116",2018-09-01,12.6076
"478","135116",2018-12-01,NA
"479","135116",2019-03-01,NA
"480","135116",2019-06-01,NA
"481","135116",2019-12-01,NA
"482","135116",2020-09-01,NA
"483","135116",2020-12-01,NA
"484","135116",2021-03-01,NA
"485","135116",2021-06-01,NA
"486","135116",2021-09-01,NA
"487","135116",2021-12-01,NA
"488","135127",1994-12-01,NA
"489","135127",1995-03-01,-13.7941
"490","135127",1995-06-01,-1.8753
"491","135127",1995-09-01,2.1723
"492","135127",1995-12-01,-7.6286
"493","135127",1996-03-01,7.4573
"494","135127",1996-06-01,23.0718
"495","135127",1996-09-01,-14.2638
"496","135127",1996-12-01,9.6541
"497","135127",1997-03-01,53.3512
"498","135127",1997-06-01,12.4189
"499","135127",1997-09-01,-18.0815
"500","135127",1997-12-01,19.5721
"501","135127",1998-03-01,9.4568
"502","135127",1998-06-01,-19.7788
"503","135127",1998-09-01,6.7064
"504","135127",1998-12-01,-7.603
"505","135127",1999-06-01,-1.6841
